transaction_id,date,city,store_id,category,subcategory,customer_id,unit_price,quantity,discount_rate,payment_method,is_return,gross_sales,net_sales,revenue,weekday,month,year,is_weekend
50,2024-07-18,New York,S010,Grocery,Dairy,C1366,8.82,4,0.03,Credit Card,0,35.28,34.2216,34.2216,Thursday,2024-07-01,2024,0
51,2023-12-06,Miami,S018,Beauty,Haircare,C1635,21.38,3,0.0,Wallet,0,64.14,64.14,64.14,Wednesday,2023-12-01,2023,0
52,2023-04-02,Chicago,S006,Toys,Board Games,C1183,33.39,1,0.0,Credit Card,0,33.39,33.39,33.39,Sunday,2023-04-01,2023,1
53,2024-01-02,Miami,S008,Grocery,Snacks,C1806,7.21,3,0.0,Credit Card,0,21.63,21.63,21.63,Tuesday,2024-01-01,2024,0
54,2024-03-30,Houston,S008,Home,Kitchen,C1358,107.93,2,0.08,Cash,0,215.86,198.5912,198.5912,Saturday,2024-03-01,2024,1
55,2024-03-03,New York,S007,Toys,Puzzles,C1285,21.51,1,0.0,Wallet,0,21.51,21.51,21.51,Sunday,2024-03-01,2024,1
56,2024-05-23,Seattle,S017,Toys,Action Figures,C1863,20.65,4,0.0,Wallet,0,82.6,82.6,82.6,Thursday,2024-05-01,2024,0
57,2023-02-04,Los Angeles,S006,Clothing,Women,C1039,38.5,2,0.09,Credit Card,0,77.0,70.07,70.07,Saturday,2023-02-01,2023,1
58,2023-07-25,Los Angeles,S014,Clothing,Kids,C1118,44.92,2,0.1,Debit Card,0,89.84,80.856,80.856,Tuesday,2023-07-01,2023,0
59,2023-03-22,Seattle,S014,Electronics,Laptop,C1372,511.5,1,0.0,Wallet,0,511.5,511.5,511.5,Wednesday,2023-03-01,2023,0
60,2024-07-15,Phoenix,S011,Books,Fiction,C1737,14.37,1,0.0,Debit Card,0,14.37,14.37,14.37,Monday,2024-07-01,2024,0
61,2024-01-23,Los Angeles,S013,Books,Non-fiction,C1567,15.91,3,0.11,Credit Card,0,47.73,42.4797,42.4797,Tuesday,2024-01-01,2024,0
62,2023-01-02,Seattle,S006,Clothing,Kids,C1308,30.76,3,0.0,Cash,0,92.28,92.28,92.28,Monday,2023-01-01,2023,0
63,2024-01-25,Chicago,S014,Beauty,Makeup,C1621,29.57,2,0.0,Credit Card,0,59.14,59.14,59.14,Thursday,2024-01-01,2024,0
64,2024-07-19,Chicago,S017,Toys,Action Figures,C1173,21.55,2,0.0,Credit Card,0,43.1,43.1,43.1,Friday,2024-07-01,2024,0
65,2023-04-16,Phoenix,S011,Electronics,Laptop,C1688,450.37,1,0.01,Cash,0,450.37,445.8663,445.8663,Sunday,2023-04-01,2023,1
66,2024-04-21,New York,S008,Toys,Action Figures,C1870,29.07,1,0.0,Credit Card,0,29.07,29.07,29.07,Sunday,2024-04-01,2024,1
67,2024-02-06,Phoenix,S007,Books,Comics,C1393,17.37,2,0.0,Credit Card,0,34.74,34.74,34.74,Tuesday,2024-02-01,2024,0
68,2024-07-09,New York,S004,Beauty,Haircare,C1224,23.5,1,0.07,Wallet,0,23.5,21.855,21.855,Tuesday,2024-07-01,2024,0
69,2023-06-11,New York,S018,Home,Furniture,C1467,80.17,2,0.09,Credit Card,0,160.34,145.9094,145.9094,Sunday,2023-06-01,2023,1
70,2023-07-21,Phoenix,S020,Grocery,Beverages,C1627,8.88,3,0.0,Cash,0,26.64,26.64,26.64,Friday,2023-07-01,2023,0
71,2023-09-27,Phoenix,S015,Home,Decor,C1882,122.06,2,0.0,Credit Card,0,244.12,244.12,244.12,Wednesday,2023-09-01,2023,0
72,2023-09-28,Seattle,S009,Beauty,Makeup,C1496,12.24,2,0.0,Credit Card,0,24.48,24.48,24.48,Thursday,2023-09-01,2023,0
73,2024-03-31,Los Angeles,S008,Grocery,Produce,C1327,8.59,5,0.0,Credit Card,0,42.95,42.95,42.95,Sunday,2024-03-01,2024,1
74,2024-04-06,Houston,S005,Books,Fiction,C1065,14.06,1,0.0,Credit Card,0,14.06,14.06,14.06,Saturday,2024-04-01,2024,1
75,2023-09-09,New York,S007,Beauty,Haircare,C1398,24.44,1,0.0,Debit Card,0,24.44,24.44,24.44,Saturday,2023-09-01,2023,1
76,2023-10-23,Miami,S019,Toys,Puzzles,C1006,20.41,1,0.0,Credit Card,0,20.41,20.41,20.41,Monday,2023-10-01,2023,0
77,2023-12-04,Miami,S014,Clothing,Kids,C1752,41.83,1,0.0,Debit Card,0,41.83,41.83,41.83,Monday,2023-12-01,2023,0
78,2023-02-22,Chicago,S009,Toys,Puzzles,C1029,29.59,1,0.06,Debit Card,0,29.59,27.8146,27.8146,Wednesday,2023-02-01,2023,0
79,2023-08-05,Seattle,S006,Beauty,Haircare,C1130,23.87,1,0.0,Debit Card,0,23.87,23.87,23.87,Saturday,2023-08-01,2023,1
80,2023-07-07,Phoenix,S019,Books,Fiction,C1085,15.32,2,0.0,Credit Card,0,30.64,30.64,30.64,Friday,2023-07-01,2023,0
81,2024-01-15,New York,S009,Toys,Puzzles,C1216,17.36,1,0.0,Credit Card,0,17.36,17.36,17.36,Monday,2024-01-01,2024,0
82,2024-05-07,Los Angeles,S014,Grocery,Dairy,C1481,9.63,2,0.17,Debit Card,0,19.26,15.9858,15.9858,Tuesday,2024-05-01,2024,0
83,2023-02-10,Los Angeles,S008,Books,Fiction,C1799,18.26,1,0.0,Credit Card,0,18.26,18.26,18.26,Friday,2023-02-01,2023,0
84,2023-06-06,Chicago,S007,Beauty,Skincare,C1636,26.64,3,0.08,Credit Card,0,79.92,73.5264,73.5264,Tuesday,2023-06-01,2023,0
85,2023-01-15,Phoenix,S007,Toys,Action Figures,C1262,20.42,1,0.0,Credit Card,0,20.42,20.42,20.42,Sunday,2023-01-01,2023,1
86,2023-03-06,Seattle,S004,Beauty,Skincare,C1318,18.06,2,0.05,Credit Card,0,36.12,34.314,34.314,Monday,2023-03-01,2023,0
87,2024-06-04,Seattle,S013,Toys,Action Figures,C1203,24.34,2,0.08,Debit Card,0,48.68,44.7856,44.7856,Tuesday,2024-06-01,2024,0
88,2023-12-10,New York,S010,Beauty,Makeup,C1614,33.53,2,0.0,Cash,0,67.06,67.06,67.06,Sunday,2023-12-01,2023,1
89,2023-05-09,New York,S012,Clothing,Women,C1677,27.22,1,0.08,Debit Card,0,27.22,25.0424,25.0424,Tuesday,2023-05-01,2023,0
90,2024-04-16,Miami,S014,Beauty,Haircare,C1108,29.74,4,0.0,Credit Card,0,118.96,118.96,118.96,Tuesday,2024-04-01,2024,0
91,2023-03-04,Houston,S005,Toys,Board Games,C1751,23.81,3,0.0,Debit Card,0,71.43,71.43,71.43,Saturday,2023-03-01,2023,1
92,2023-05-19,Phoenix,S016,Toys,Puzzles,C1845,32.15,1,0.0,Credit Card,0,32.15,32.15,32.15,Friday,2023-05-01,2023,0
93,2024-05-13,Miami,S003,Grocery,Beverages,C1249,9.98,2,0.0,Debit Card,0,19.96,19.96,19.96,Monday,2024-05-01,2024,0
94,2024-08-15,Los Angeles,S001,Toys,Puzzles,C1186,22.71,4,0.0,Credit Card,0,90.84,90.84,90.84,Thursday,2024-08-01,2024,0
95,2024-01-27,Los Angeles,S020,Books,Non-fiction,C1569,13.18,2,0.08,Wallet,0,26.36,24.2512,24.2512,Saturday,2024-01-01,2024,1
96,2024-02-23,Seattle,S014,Toys,Action Figures,C1776,19.61,1,0.04,Credit Card,0,19.61,18.8256,18.8256,Friday,2024-02-01,2024,0
97,2023-10-16,Houston,S001,Electronics,Headphones,C1226,433.19,1,0.0,Credit Card,0,433.19,433.19,433.19,Monday,2023-10-01,2023,0
98,2024-01-14,Los Angeles,S016,Clothing,Kids,C1352,30.68,2,0.0,Debit Card,0,61.36,61.36,61.36,Sunday,2024-01-01,2024,1
99,2024-05-04,Seattle,S015,Grocery,Produce,C1257,9.04,1,0.01,Debit Card,0,9.04,8.9496,8.9496,Saturday,2024-05-01,2024,1
100,2023-08-19,Seattle,S018,Beauty,Makeup,C1189,24.63,1,0.1,Debit Card,0,24.63,22.167,22.167,Saturday,2023-08-01,2023,1
101,2023-02-10,Phoenix,S017,Clothing,Women,C1102,38.2,4,0.0,Credit Card,0,152.8,152.8,152.8,Friday,2023-02-01,2023,0
102,2023-01-28,Los Angeles,S001,Books,Comics,C1129,19.37,3,0.08,Wallet,0,58.11,53.4612,53.4612,Saturday,2023-01-01,2023,1
103,2023-05-15,Seattle,S005,Books,Non-fiction,C1105,14.65,6,0.0,Debit Card,0,87.9,87.9,87.9,Monday,2023-05-01,2023,0
104,2023-07-20,Houston,S011,Home,Furniture,C1258,95.22,2,0.0,Credit Card,0,190.44,190.44,190.44,Thursday,2023-07-01,2023,0
105,2023-02-02,Houston,S016,Electronics,Phone,C1155,485.81,1,0.02,Debit Card,0,485.81,476.0938,476.0938,Thursday,2023-02-01,2023,0
106,2023-02-17,Chicago,S004,Clothing,Women,C1620,29.51,1,0.0,Debit Card,0,29.51,29.51,29.51,Friday,2023-02-01,2023,0
107,2024-05-17,Houston,S015,Toys,Puzzles,C1880,25.08,1,0.0,Credit Card,0,25.08,25.08,25.08,Friday,2024-05-01,2024,0
108,2024-02-11,New York,S020,Books,Fiction,C1781,17.71,4,0.12,Credit Card,0,70.84,62.3392,62.3392,Sunday,2024-02-01,2024,1
109,2024-07-27,Chicago,S008,Home,Decor,C1076,93.63,3,0.03,Credit Card,0,280.89,272.4633,272.4633,Saturday,2024-07-01,2024,1
110,2023-04-09,Houston,S010,Electronics,Laptop,C1295,395.14,1,0.0,Debit Card,0,395.14,395.14,395.14,Sunday,2023-04-01,2023,1
111,2024-06-30,Seattle,S008,Grocery,Snacks,C1435,5.56,4,0.1,Credit Card,0,22.24,20.016,20.016,Sunday,2024-06-01,2024,1
112,2024-09-04,Los Angeles,S005,Electronics,Phone,C1169,473.44,1,0.0,Debit Card,0,473.44,473.44,473.44,Wednesday,2024-09-01,2024,0
113,2024-04-06,Los Angeles,S015,Electronics,TV,C1705,401.5,1,0.05,Credit Card,0,401.5,381.425,381.425,Saturday,2024-04-01,2024,1
114,2023-01-05,Phoenix,S016,Toys,Board Games,C1612,27.46,1,0.01,Credit Card,0,27.46,27.1854,27.1854,Thursday,2023-01-01,2023,0
115,2023-08-06,Los Angeles,S001,Electronics,Laptop,C1690,554.82,2,0.0,Debit Card,0,1109.64,1109.64,1109.64,Sunday,2023-08-01,2023,1
116,2024-05-17,Miami,S009,Clothing,Men,C1781,37.35,2,0.0,Credit Card,0,74.7,74.7,74.7,Friday,2024-05-01,2024,0
117,2024-02-02,Los Angeles,S006,Clothing,Women,C1650,37.21,1,0.0,Wallet,0,37.21,37.21,37.21,Friday,2024-02-01,2024,0
118,2024-01-28,Houston,S011,Grocery,Dairy,C1878,9.21,3,0.1,Credit Card,0,27.63,24.867,24.867,Sunday,2024-01-01,2024,1
119,2023-07-26,Seattle,S013,Beauty,Makeup,C1037,17.53,1,0.0,Credit Card,0,17.53,17.53,17.53,Wednesday,2023-07-01,2023,0
120,2023-01-15,Miami,S013,Beauty,Makeup,C1844,20.93,3,0.0,Debit Card,0,62.79,62.79,62.79,Sunday,2023-01-01,2023,1
121,2024-07-07,Houston,S002,Home,Decor,C1370,91.17,1,0.0,Credit Card,0,91.17,91.17,91.17,Sunday,2024-07-01,2024,1
122,2024-04-05,New York,S007,Grocery,Snacks,C1294,9.11,3,0.0,Debit Card,0,27.33,27.33,27.33,Friday,2024-04-01,2024,0
123,2024-07-28,Seattle,S020,Beauty,Skincare,C1726,23.7,4,0.12,Debit Card,0,94.8,83.424,83.424,Sunday,2024-07-01,2024,1
124,2023-08-29,New York,S008,Beauty,Skincare,C1472,29.78,1,0.0,Debit Card,0,29.78,29.78,29.78,Tuesday,2023-08-01,2023,0
125,2024-07-17,Seattle,S010,Clothing,Kids,C1279,31.55,4,0.0,Credit Card,0,126.2,126.2,126.2,Wednesday,2024-07-01,2024,0
126,2023-04-06,Houston,S018,Home,Kitchen,C1195,135.01,1,0.0,Debit Card,0,135.01,135.01,135.01,Thursday,2023-04-01,2023,0
127,2024-04-29,Miami,S003,Grocery,Beverages,C1348,9.42,3,0.0,Debit Card,0,28.26,28.26,28.26,Monday,2024-04-01,2024,0
128,2024-02-11,Los Angeles,S010,Beauty,Makeup,C1593,30.64,2,0.0,Credit Card,0,61.28,61.28,61.28,Sunday,2024-02-01,2024,1
129,2023-08-19,Phoenix,S016,Grocery,Produce,C1565,8.01,1,0.0,Credit Card,0,8.01,8.01,8.01,Saturday,2023-08-01,2023,1
130,2023-06-20,Miami,S007,Books,Fiction,C1585,11.38,4,0.09,Cash,0,45.52,41.4232,41.4232,Tuesday,2023-06-01,2023,0
131,2024-06-24,Los Angeles,S016,Books,Non-fiction,C1395,19.66,5,0.0,Cash,0,98.3,98.3,98.3,Monday,2024-06-01,2024,0
132,2023-02-05,Chicago,S016,Electronics,Laptop,C1514,526.86,1,0.0,Credit Card,0,526.86,526.86,526.86,Sunday,2023-02-01,2023,1
133,2024-06-08,Miami,S015,Electronics,TV,C1015,301.07,2,0.0,Credit Card,0,602.14,602.14,602.14,Saturday,2024-06-01,2024,1
134,2023-06-09,Chicago,S003,Toys,Puzzles,C1346,27.69,1,0.0,Credit Card,0,27.69,27.69,27.69,Friday,2023-06-01,2023,0
135,2023-08-31,Los Angeles,S018,Toys,Puzzles,C1641,24.63,1,0.0,Cash,0,24.63,24.63,24.63,Thursday,2023-08-01,2023,0
136,2023-03-27,New York,S020,Electronics,Laptop,C1646,409.35,3,0.0,Credit Card,0,1228.05,1228.05,1228.05,Monday,2023-03-01,2023,0
137,2024-07-31,New York,S014,Electronics,Phone,C1454,488.59,1,0.05,Credit Card,1,488.59,0.0,0.0,Wednesday,2024-07-01,2024,0
138,2024-07-10,Los Angeles,S002,Grocery,Produce,C1383,6.57,2,0.0,Credit Card,0,13.14,13.14,13.14,Wednesday,2024-07-01,2024,0
139,2024-07-27,Seattle,S006,Home,Furniture,C1080,143.9,5,0.0,Credit Card,0,719.5,719.5,719.5,Saturday,2024-07-01,2024,1
140,2023-01-28,Houston,S019,Home,Furniture,C1472,107.61,4,0.0,Credit Card,0,430.44,430.44,430.44,Saturday,2023-01-01,2023,1
141,2024-09-11,Miami,S015,Grocery,Snacks,C1075,7.69,1,0.0,Credit Card,0,7.69,7.69,7.69,Wednesday,2024-09-01,2024,0
142,2024-07-09,Seattle,S014,Books,Non-fiction,C1467,13.02,1,0.0,Credit Card,0,13.02,13.02,13.02,Tuesday,2024-07-01,2024,0
143,2023-12-06,Houston,S004,Home,Kitchen,C1585,103.08,1,0.06,Credit Card,0,103.08,96.8952,96.8952,Wednesday,2023-12-01,2023,0
144,2023-11-27,New York,S013,Grocery,Dairy,C1579,7.61,4,0.0,Cash,0,30.44,30.44,30.44,Monday,2023-11-01,2023,0
145,2024-10-01,Phoenix,S016,Beauty,Haircare,C1794,19.3,1,0.0,Debit Card,0,19.3,19.3,19.3,Tuesday,2024-10-01,2024,0
146,2024-05-20,Seattle,S007,Clothing,Women,C1694,42.36,1,0.0,Cash,0,42.36,42.36,42.36,Monday,2024-05-01,2024,0
147,2023-12-14,Chicago,S004,Books,Comics,C1040,12.69,1,0.01,Credit Card,0,12.69,12.5631,12.5631,Thursday,2023-12-01,2023,0
148,2024-04-17,Seattle,S005,Electronics,Headphones,C1334,503.55,1,0.0,Credit Card,0,503.55,503.55,503.55,Wednesday,2024-04-01,2024,0
149,2023-08-19,Phoenix,S012,Clothing,Kids,C1279,31.1,2,0.0,Credit Card,0,62.2,62.2,62.2,Saturday,2023-08-01,2023,1
150,2023-07-09,Houston,S010,Books,Non-fiction,C1823,14.91,3,0.03,Wallet,0,44.73,43.3881,43.3881,Sunday,2023-07-01,2023,1
151,2023-08-13,Chicago,S013,Beauty,Makeup,C1374,22.81,1,0.2,Credit Card,0,22.81,18.248,18.248,Sunday,2023-08-01,2023,1
152,2024-01-20,New York,S015,Grocery,Produce,C1598,7.85,1,0.0,Debit Card,0,7.85,7.85,7.85,Saturday,2024-01-01,2024,1
153,2024-01-12,Seattle,S008,Toys,Board Games,C1634,15.57,1,0.0,Debit Card,0,15.57,15.57,15.57,Friday,2024-01-01,2024,0
154,2023-10-10,Chicago,S003,Books,Non-fiction,C1717,13.82,3,0.13,Credit Card,0,41.46,36.0702,36.0702,Tuesday,2023-10-01,2023,0
155,2024-09-24,New York,S010,Toys,Board Games,C1099,28.41,3,0.01,Debit Card,0,85.23,84.3777,84.3777,Tuesday,2024-09-01,2024,0
156,2024-09-19,Los Angeles,S018,Toys,Action Figures,C1760,22.5,3,0.0,Cash,0,67.5,67.5,67.5,Thursday,2024-09-01,2024,0
157,2023-09-16,Miami,S016,Clothing,Women,C1286,32.03,2,0.12,Credit Card,0,64.06,56.3728,56.3728,Saturday,2023-09-01,2023,1
158,2023-12-25,Chicago,S012,Electronics,Headphones,C1557,590.66,1,0.0,Debit Card,0,590.66,590.66,590.66,Monday,2023-12-01,2023,0
159,2024-03-31,Los Angeles,S007,Electronics,TV,C1093,425.34,1,0.0,Debit Card,0,425.34,425.34,425.34,Sunday,2024-03-01,2024,1
160,2024-02-15,New York,S002,Beauty,Haircare,C1249,30.38,2,0.0,Cash,0,60.76,60.76,60.76,Thursday,2024-02-01,2024,0
161,2023-11-14,Miami,S018,Home,Decor,C1221,159.02,3,0.0,Credit Card,0,477.06,477.06,477.06,Tuesday,2023-11-01,2023,0
162,2023-08-13,Miami,S020,Electronics,Headphones,C1879,333.76,1,0.0,Wallet,0,333.76,333.76,333.76,Sunday,2023-08-01,2023,1
163,2023-08-22,Miami,S006,Electronics,Phone,C1134,476.18,1,0.09,Cash,0,476.18,433.3238,433.3238,Tuesday,2023-08-01,2023,0
164,2024-01-09,Los Angeles,S001,Home,Kitchen,C1053,109.67,4,0.13,Credit Card,0,438.68,381.6516,381.6516,Tuesday,2024-01-01,2024,0
165,2024-08-30,New York,S016,Toys,Puzzles,C1525,22.43,1,0.0,Credit Card,0,22.43,22.43,22.43,Friday,2024-08-01,2024,0
166,2024-04-16,Phoenix,S002,Books,Comics,C1533,18.54,2,0.08,Debit Card,0,37.08,34.1136,34.1136,Tuesday,2024-04-01,2024,0
167,2023-08-21,Houston,S013,Toys,Action Figures,C1110,21.59,2,0.0,Wallet,0,43.18,43.18,43.18,Monday,2023-08-01,2023,0
168,2023-04-23,New York,S011,Clothing,Men,C1067,30.26,1,0.08,Debit Card,0,30.26,27.8392,27.8392,Sunday,2023-04-01,2023,1
169,2024-05-11,Seattle,S011,Toys,Action Figures,C1543,26.88,2,0.0,Debit Card,0,53.76,53.76,53.76,Saturday,2024-05-01,2024,1
170,2024-03-17,Miami,S004,Beauty,Makeup,C1666,19.43,1,0.0,Debit Card,0,19.43,19.43,19.43,Sunday,2024-03-01,2024,1
171,2024-07-17,Houston,S015,Home,Kitchen,C1347,139.9,1,0.0,Credit Card,0,139.9,139.9,139.9,Wednesday,2024-07-01,2024,0
172,2023-09-25,Los Angeles,S014,Grocery,Produce,C1383,7.96,1,0.0,Debit Card,0,7.96,7.96,7.96,Monday,2023-09-01,2023,0
173,2024-05-24,New York,S003,Electronics,TV,C1098,476.3,1,0.0,Credit Card,0,476.3,476.3,476.3,Friday,2024-05-01,2024,0
174,2024-01-21,New York,S019,Clothing,Kids,C1337,33.69,1,0.0,Credit Card,0,33.69,33.69,33.69,Sunday,2024-01-01,2024,1
175,2024-01-22,Miami,S014,Beauty,Makeup,C1052,9.91,5,0.0,Debit Card,0,49.55,49.55,49.55,Monday,2024-01-01,2024,0
176,2023-04-23,Phoenix,S017,Home,Furniture,C1672,108.01,1,0.0,Cash,0,108.01,108.01,108.01,Sunday,2023-04-01,2023,1
177,2024-09-04,Phoenix,S012,Electronics,Headphones,C1587,396.06,1,0.01,Credit Card,0,396.06,392.0994,392.0994,Wednesday,2024-09-01,2024,0
178,2024-09-16,Miami,S020,Clothing,Kids,C1658,35.15,1,0.0,Debit Card,0,35.15,35.15,35.15,Monday,2024-09-01,2024,0
179,2023-03-22,Seattle,S009,Electronics,Laptop,C1279,529.81,1,0.0,Credit Card,0,529.81,529.81,529.81,Wednesday,2023-03-01,2023,0
