transaction_id,date,city,store_id,category,subcategory,customer_id,unit_price,quantity,discount_rate,payment_method,is_return,gross_sales,net_sales
18,2023-12-10,Los Angeles,S011,Electronics,Headphones,C1445,470.57,3,0.1,Credit Card,0,1411.71,1270.539
19,2024-05-06,Seattle,S009,Clothing,Men,C1519,24.48,3,0.0,Cash,0,73.44,73.44
20,2024-02-18,Seattle,S017,Clothing,Men,C1156,48.97,5,0.23,Credit Card,0,244.85,188.5345
21,2024-01-21,Phoenix,S001,Clothing,Women,C1500,36.61,4,0.09,Wallet,0,146.44,133.2604
22,2023-07-11,Miami,S010,Home,Furniture,C1246,88.82,6,0.0,Wallet,0,532.92,532.92
23,2023-10-04,Houston,S003,Beauty,Makeup,C1784,16.62,1,0.1,Debit Card,0,16.62,14.958000000000002
24,2023-06-10,Chicago,S009,Clothing,Kids,C1433,40.94,1,0.0,Wallet,0,40.94,40.94
25,2024-04-04,Seattle,S007,Books,Non-fiction,C1408,10.45,4,0.0,Debit Card,0,41.8,41.8
26,2023-11-10,Phoenix,S015,Electronics,Laptop,C1230,417.87,1,0.06,Credit Card,0,417.87,392.7978
27,2023-01-22,Phoenix,S008,Electronics,Phone,C1724,474.21,2,0.0,Credit Card,0,948.42,948.42
28,2023-09-10,Miami,S011,Electronics,Laptop,C1285,406.9,1,0.0,Credit Card,0,406.9,406.9
29,2024-07-14,Phoenix,S019,Toys,Board Games,C1803,20.69,3,0.0,Credit Card,0,62.07000000000001,62.07000000000001
30,2024-04-19,Seattle,S014,Grocery,Beverages,C1420,9.78,2,0.0,Debit Card,0,19.56,19.56
31,2023-02-28,Seattle,S004,Electronics,TV,C1745,624.12,1,0.0,Cash,0,624.12,624.12
32,2024-05-25,Chicago,S018,Toys,Board Games,C1432,27.04,1,0.0,Credit Card,0,27.04,27.04
33,2024-04-20,New York,S015,Beauty,Makeup,C1100,26.9,2,0.03,Wallet,0,53.8,52.18599999999999
34,2023-07-09,New York,S008,Home,Kitchen,C1497,142.37,2,0.0,Cash,0,284.74,284.74
35,2024-07-16,Chicago,S013,Electronics,TV,C1271,435.97,3,0.0,Cash,0,1307.91,1307.91
36,2024-07-20,Seattle,S018,Books,Comics,C1498,13.36,1,0.05,Credit Card,0,13.36,12.691999999999998
37,2023-09-01,Phoenix,S018,Electronics,Headphones,C1058,473.43,1,0.04,Credit Card,0,473.43,454.4928
38,2024-05-19,Phoenix,S006,Electronics,Phone,C1871,299.84,1,0.0,Debit Card,0,299.84,299.84
39,2023-05-11,Chicago,S013,Electronics,Laptop,C1592,456.97,1,0.0,Debit Card,0,456.97,456.97
40,2024-04-29,Phoenix,S019,Clothing,Women,C1267,45.6,2,0.04,Debit Card,0,91.2,87.55199999999999
41,2023-01-21,Houston,S005,Books,Comics,C1307,10.51,1,0.0,Wallet,0,10.51,10.51
42,2023-06-16,New York,S015,Clothing,Kids,C1102,30.45,1,0.08,Credit Card,0,30.45,28.014
43,2023-10-01,Los Angeles,S003,Home,Kitchen,C1291,121.66,1,0.04,Cash,0,121.66,116.7936
44,2024-01-23,Phoenix,S017,Electronics,Headphones,C1679,425.55,2,0.13,Cash,0,851.1,740.457
45,2024-08-23,New York,S018,Home,Kitchen,C1288,144.33,2,0.0,Debit Card,0,288.66,288.66
46,2023-11-12,Seattle,S009,Clothing,Women,C1257,42.12,1,0.0,Cash,0,42.12,42.12
47,2023-01-14,Houston,S009,Electronics,Phone,C1341,474.43,1,0.0,Debit Card,0,474.43,474.43
48,2023-08-30,Seattle,S015,Clothing,Kids,C1437,33.5,3,0.0,Credit Card,0,100.5,100.5
49,2023-12-12,Seattle,S005,Clothing,Men,C1854,36.94,1,0.0,Debit Card,0,36.94,36.94
50,2024-07-18,New York,S010,Grocery,Dairy,C1366,8.82,4,0.03,Credit Card,0,35.28,34.2216
51,2023-12-06,Miami,S018,Beauty,Haircare,C1635,21.38,3,0.0,Wallet,0,64.14,64.14
52,2023-04-02,Chicago,S006,Toys,Board Games,C1183,33.39,1,0.0,Credit Card,0,33.39,33.39
53,2024-01-02,Miami,S008,Grocery,Snacks,C1806,7.21,3,0.0,Credit Card,0,21.63,21.63
54,2024-03-30,Houston,S008,Home,Kitchen,C1358,107.93,2,0.08,Cash,0,215.86,198.59120000000001
55,2024-03-03,New York,S007,Toys,Puzzles,C1285,21.51,1,0.0,Wallet,0,21.51,21.51
56,2024-05-23,Seattle,S017,Toys,Action Figures,C1863,20.65,4,0.0,Wallet,0,82.6,82.6
57,2023-02-04,Los Angeles,S006,Clothing,Women,C1039,38.5,2,0.09,Credit Card,0,77.0,70.07000000000001
58,2023-07-25,Los Angeles,S014,Clothing,Kids,C1118,44.92,2,0.1,Debit Card,0,89.84,80.85600000000001
59,2023-03-22,Seattle,S014,Electronics,Laptop,C1372,511.5,1,0.0,Wallet,0,511.5,511.5
60,2024-07-15,Phoenix,S011,Books,Fiction,C1737,14.37,1,0.0,Debit Card,0,14.37,14.37
61,2024-01-23,Los Angeles,S013,Books,Non-fiction,C1567,15.91,3,0.11,Credit Card,0,47.730000000000004,42.4797
62,2023-01-02,Seattle,S006,Clothing,Kids,C1308,30.76,3,0.0,Cash,0,92.28,92.28
63,2024-01-25,Chicago,S014,Beauty,Makeup,C1621,29.57,2,0.0,Credit Card,0,59.14,59.14
64,2024-07-19,Chicago,S017,Toys,Action Figures,C1173,21.55,2,0.0,Credit Card,0,43.1,43.1
65,2023-04-16,Phoenix,S011,Electronics,Laptop,C1688,450.37,1,0.01,Cash,0,450.37,445.8663
66,2024-04-21,New York,S008,Toys,Action Figures,C1870,29.07,1,0.0,Credit Card,0,29.07,29.07
67,2024-02-06,Phoenix,S007,Books,Comics,C1393,17.37,2,0.0,Credit Card,0,34.74,34.74
68,2024-07-09,New York,S004,Beauty,Haircare,C1224,23.5,1,0.07,Wallet,0,23.5,21.854999999999997
69,2023-06-11,New York,S018,Home,Furniture,C1467,80.17,2,0.09,Credit Card,0,160.34,145.9094
70,2023-07-21,Phoenix,S020,Grocery,Beverages,C1627,8.88,3,0.0,Cash,0,26.64,26.64
71,2023-09-27,Phoenix,S015,Home,Decor,C1882,122.06,2,0.0,Credit Card,0,244.12,244.12
72,2023-09-28,Seattle,S009,Beauty,Makeup,C1496,12.24,2,0.0,Credit Card,0,24.48,24.48
73,2024-03-31,Los Angeles,S008,Grocery,Produce,C1327,8.59,5,0.0,Credit Card,0,42.95,42.95
74,2024-04-06,Houston,S005,Books,Fiction,C1065,14.06,1,0.0,Credit Card,0,14.06,14.06
75,2023-09-09,New York,S007,Beauty,Haircare,C1398,24.44,1,0.0,Debit Card,0,24.44,24.44
76,2023-10-23,Miami,S019,Toys,Puzzles,C1006,20.41,1,0.0,Credit Card,0,20.41,20.41
77,2023-12-04,Miami,S014,Clothing,Kids,C1752,41.83,1,0.0,Debit Card,0,41.83,41.83
78,2023-02-22,Chicago,S009,Toys,Puzzles,C1029,29.59,1,0.06,Debit Card,0,29.59,27.8146
79,2023-08-05,Seattle,S006,Beauty,Haircare,C1130,23.87,1,0.0,Debit Card,0,23.87,23.87
80,2023-07-07,Phoenix,S019,Books,Fiction,C1085,15.32,2,0.0,Credit Card,0,30.64,30.64
81,2024-01-15,New York,S009,Toys,Puzzles,C1216,17.36,1,0.0,Credit Card,0,17.36,17.36
82,2024-05-07,Los Angeles,S014,Grocery,Dairy,C1481,9.63,2,0.17,Debit Card,0,19.26,15.985800000000001
83,2023-02-10,Los Angeles,S008,Books,Fiction,C1799,18.26,1,0.0,Credit Card,0,18.26,18.26
84,2023-06-06,Chicago,S007,Beauty,Skincare,C1636,26.64,3,0.08,Credit Card,0,79.92,73.52640000000001
85,2023-01-15,Phoenix,S007,Toys,Action Figures,C1262,20.42,1,0.0,Credit Card,0,20.42,20.42
86,2023-03-06,Seattle,S004,Beauty,Skincare,C1318,18.06,2,0.05,Credit Card,0,36.12,34.31399999999999
87,2024-06-04,Seattle,S013,Toys,Action Figures,C1203,24.34,2,0.08,Debit Card,0,48.68,44.7856
88,2023-12-10,New York,S010,Beauty,Makeup,C1614,33.53,2,0.0,Cash,0,67.06,67.06
89,2023-05-09,New York,S012,Clothing,Women,C1677,27.22,1,0.08,Debit Card,0,27.22,25.0424
90,2024-04-16,Miami,S014,Beauty,Haircare,C1108,29.74,4,0.0,Credit Card,0,118.96,118.96
91,2023-03-04,Houston,S005,Toys,Board Games,C1751,23.81,3,0.0,Debit Card,0,71.42999999999999,71.42999999999999
92,2023-05-19,Phoenix,S016,Toys,Puzzles,C1845,32.15,1,0.0,Credit Card,0,32.15,32.15
93,2024-05-13,Miami,S003,Grocery,Beverages,C1249,9.98,2,0.0,Debit Card,0,19.96,19.96
94,2024-08-15,Los Angeles,S001,Toys,Puzzles,C1186,22.71,4,0.0,Credit Card,0,90.84,90.84
95,2024-01-27,Los Angeles,S020,Books,Non-fiction,C1569,13.18,2,0.08,Wallet,0,26.36,24.2512
96,2024-02-23,Seattle,S014,Toys,Action Figures,C1776,19.61,1,0.04,Credit Card,0,19.61,18.825599999999998
97,2023-10-16,Houston,S001,Electronics,Headphones,C1226,433.19,1,0.0,Credit Card,0,433.19,433.19
98,2024-01-14,Los Angeles,S016,Clothing,Kids,C1352,30.68,2,0.0,Debit Card,0,61.36,61.36
99,2024-05-04,Seattle,S015,Grocery,Produce,C1257,9.04,1,0.01,Debit Card,0,9.04,8.949599999999998
100,2023-08-19,Seattle,S018,Beauty,Makeup,C1189,24.63,1,0.1,Debit Card,0,24.63,22.166999999999998
101,2023-02-10,Phoenix,S017,Clothing,Women,C1102,38.2,4,0.0,Credit Card,0,152.8,152.8
102,2023-01-28,Los Angeles,S001,Books,Comics,C1129,19.37,3,0.08,Wallet,0,58.11,53.461200000000005
103,2023-05-15,Seattle,S005,Books,Non-fiction,C1105,14.65,6,0.0,Debit Card,0,87.9,87.9
104,2023-07-20,Houston,S011,Home,Furniture,C1258,95.22,2,0.0,Credit Card,0,190.44,190.44
105,2023-02-02,Houston,S016,Electronics,Phone,C1155,485.81,1,0.02,Debit Card,0,485.81,476.0938
106,2023-02-17,Chicago,S004,Clothing,Women,C1620,29.51,1,0.0,Debit Card,0,29.51,29.51
107,2024-05-17,Houston,S015,Toys,Puzzles,C1880,25.08,1,0.0,Credit Card,0,25.08,25.08
108,2024-02-11,New York,S020,Books,Fiction,C1781,17.71,4,0.12,Credit Card,0,70.84,62.339200000000005
109,2024-07-27,Chicago,S008,Home,Decor,C1076,93.63,3,0.03,Credit Card,0,280.89,272.4633
110,2023-04-09,Houston,S010,Electronics,Laptop,C1295,395.14,1,0.0,Debit Card,0,395.14,395.14
111,2024-06-30,Seattle,S008,Grocery,Snacks,C1435,5.56,4,0.1,Credit Card,0,22.24,20.016
112,2024-09-04,Los Angeles,S005,Electronics,Phone,C1169,473.44,1,0.0,Debit Card,0,473.44,473.44
113,2024-04-06,Los Angeles,S015,Electronics,TV,C1705,401.5,1,0.05,Credit Card,0,401.5,381.42499999999995
114,2023-01-05,Phoenix,S016,Toys,Board Games,C1612,27.46,1,0.01,Credit Card,0,27.46,27.1854
115,2023-08-06,Los Angeles,S001,Electronics,Laptop,C1690,554.82,2,0.0,Debit Card,0,1109.64,1109.64
116,2024-05-17,Miami,S009,Clothing,Men,C1781,37.35,2,0.0,Credit Card,0,74.7,74.7
117,2024-02-02,Los Angeles,S006,Clothing,Women,C1650,37.21,1,0.0,Wallet,0,37.21,37.21
118,2024-01-28,Houston,S011,Grocery,Dairy,C1878,9.21,3,0.1,Credit Card,0,27.630000000000003,24.867000000000004
119,2023-07-26,Seattle,S013,Beauty,Makeup,C1037,17.53,1,0.0,Credit Card,0,17.53,17.53
120,2023-01-15,Miami,S013,Beauty,Makeup,C1844,20.93,3,0.0,Debit Card,0,62.79,62.79
121,2024-07-07,Houston,S002,Home,Decor,C1370,91.17,1,0.0,Credit Card,0,91.17,91.17
122,2024-04-05,New York,S007,Grocery,Snacks,C1294,9.11,3,0.0,Debit Card,0,27.33,27.33
123,2024-07-28,Seattle,S020,Beauty,Skincare,C1726,23.7,4,0.12,Debit Card,0,94.8,83.42399999999999
124,2023-08-29,New York,S008,Beauty,Skincare,C1472,29.78,1,0.0,Debit Card,0,29.78,29.78
125,2024-07-17,Seattle,S010,Clothing,Kids,C1279,31.55,4,0.0,Credit Card,0,126.2,126.2
126,2023-04-06,Houston,S018,Home,Kitchen,C1195,135.01,1,0.0,Debit Card,0,135.01,135.01
127,2024-04-29,Miami,S003,Grocery,Beverages,C1348,9.42,3,0.0,Debit Card,0,28.259999999999998,28.259999999999998
128,2024-02-11,Los Angeles,S010,Beauty,Makeup,C1593,30.64,2,0.0,Credit Card,0,61.28,61.28
129,2023-08-19,Phoenix,S016,Grocery,Produce,C1565,8.01,1,0.0,Credit Card,0,8.01,8.01
130,2023-06-20,Miami,S007,Books,Fiction,C1585,11.38,4,0.09,Cash,0,45.52,41.4232
131,2024-06-24,Los Angeles,S016,Books,Non-fiction,C1395,19.66,5,0.0,Cash,0,98.3,98.3
132,2023-02-05,Chicago,S016,Electronics,Laptop,C1514,526.86,1,0.0,Credit Card,0,526.86,526.86
133,2024-06-08,Miami,S015,Electronics,TV,C1015,301.07,2,0.0,Credit Card,0,602.14,602.14
134,2023-06-09,Chicago,S003,Toys,Puzzles,C1346,27.69,1,0.0,Credit Card,0,27.69,27.69
135,2023-08-31,Los Angeles,S018,Toys,Puzzles,C1641,24.63,1,0.0,Cash,0,24.63,24.63
136,2023-03-27,New York,S020,Electronics,Laptop,C1646,409.35,3,0.0,Credit Card,0,1228.0500000000002,1228.0500000000002
137,2024-07-31,New York,S014,Electronics,Phone,C1454,488.59,1,0.05,Credit Card,1,488.59,0.0
138,2024-07-10,Los Angeles,S002,Grocery,Produce,C1383,6.57,2,0.0,Credit Card,0,13.14,13.14
139,2024-07-27,Seattle,S006,Home,Furniture,C1080,143.9,5,0.0,Credit Card,0,719.5,719.5
140,2023-01-28,Houston,S019,Home,Furniture,C1472,107.61,4,0.0,Credit Card,0,430.44,430.44
141,2024-09-11,Miami,S015,Grocery,Snacks,C1075,7.69,1,0.0,Credit Card,0,7.69,7.69
142,2024-07-09,Seattle,S014,Books,Non-fiction,C1467,13.02,1,0.0,Credit Card,0,13.02,13.02
143,2023-12-06,Houston,S004,Home,Kitchen,C1585,103.08,1,0.06,Credit Card,0,103.08,96.89519999999999
144,2023-11-27,New York,S013,Grocery,Dairy,C1579,7.61,4,0.0,Cash,0,30.44,30.44
145,2024-10-01,Phoenix,S016,Beauty,Haircare,C1794,19.3,1,0.0,Debit Card,0,19.3,19.3
146,2024-05-20,Seattle,S007,Clothing,Women,C1694,42.36,1,0.0,Cash,0,42.36,42.36
147,2023-12-14,Chicago,S004,Books,Comics,C1040,12.69,1,0.01,Credit Card,0,12.69,12.563099999999999
148,2024-04-17,Seattle,S005,Electronics,Headphones,C1334,503.55,1,0.0,Credit Card,0,503.55,503.55
149,2023-08-19,Phoenix,S012,Clothing,Kids,C1279,31.1,2,0.0,Credit Card,0,62.2,62.2
150,2023-07-09,Houston,S010,Books,Non-fiction,C1823,14.91,3,0.03,Wallet,0,44.730000000000004,43.3881
151,2023-08-13,Chicago,S013,Beauty,Makeup,C1374,22.81,1,0.2,Credit Card,0,22.81,18.248
152,2024-01-20,New York,S015,Grocery,Produce,C1598,7.85,1,0.0,Debit Card,0,7.85,7.85
153,2024-01-12,Seattle,S008,Toys,Board Games,C1634,15.57,1,0.0,Debit Card,0,15.57,15.57
154,2023-10-10,Chicago,S003,Books,Non-fiction,C1717,13.82,3,0.13,Credit Card,0,41.46,36.0702
155,2024-09-24,New York,S010,Toys,Board Games,C1099,28.41,3,0.01,Debit Card,0,85.23,84.3777
156,2024-09-19,Los Angeles,S018,Toys,Action Figures,C1760,22.5,3,0.0,Cash,0,67.5,67.5
157,2023-09-16,Miami,S016,Clothing,Women,C1286,32.03,2,0.12,Credit Card,0,64.06,56.372800000000005
158,2023-12-25,Chicago,S012,Electronics,Headphones,C1557,590.66,1,0.0,Debit Card,0,590.66,590.66
159,2024-03-31,Los Angeles,S007,Electronics,TV,C1093,425.34,1,0.0,Debit Card,0,425.34,425.34
160,2024-02-15,New York,S002,Beauty,Haircare,C1249,30.38,2,0.0,Cash,0,60.76,60.76
161,2023-11-14,Miami,S018,Home,Decor,C1221,159.02,3,0.0,Credit Card,0,477.06000000000006,477.06000000000006
162,2023-08-13,Miami,S020,Electronics,Headphones,C1879,333.76,1,0.0,Wallet,0,333.76,333.76
163,2023-08-22,Miami,S006,Electronics,Phone,C1134,476.18,1,0.09,Cash,0,476.18,433.3238
164,2024-01-09,Los Angeles,S001,Home,Kitchen,C1053,109.67,4,0.13,Credit Card,0,438.68,381.65160000000003
165,2024-08-30,New York,S016,Toys,Puzzles,C1525,22.43,1,0.0,Credit Card,0,22.43,22.43
166,2024-04-16,Phoenix,S002,Books,Comics,C1533,18.54,2,0.08,Debit Card,0,37.08,34.1136
167,2023-08-21,Houston,S013,Toys,Action Figures,C1110,21.59,2,0.0,Wallet,0,43.18,43.18
168,2023-04-23,New York,S011,Clothing,Men,C1067,30.26,1,0.08,Debit Card,0,30.26,27.8392
169,2024-05-11,Seattle,S011,Toys,Action Figures,C1543,26.88,2,0.0,Debit Card,0,53.76,53.76
170,2024-03-17,Miami,S004,Beauty,Makeup,C1666,19.43,1,0.0,Debit Card,0,19.43,19.43
171,2024-07-17,Houston,S015,Home,Kitchen,C1347,139.9,1,0.0,Credit Card,0,139.9,139.9
172,2023-09-25,Los Angeles,S014,Grocery,Produce,C1383,7.96,1,0.0,Debit Card,0,7.96,7.96
173,2024-05-24,New York,S003,Electronics,TV,C1098,476.3,1,0.0,Credit Card,0,476.3,476.3
174,2024-01-21,New York,S019,Clothing,Kids,C1337,33.69,1,0.0,Credit Card,0,33.69,33.69
175,2024-01-22,Miami,S014,Beauty,Makeup,C1052,9.91,5,0.0,Debit Card,0,49.55,49.55
176,2023-04-23,Phoenix,S017,Home,Furniture,C1672,108.01,1,0.0,Cash,0,108.01,108.01
177,2024-09-04,Phoenix,S012,Electronics,Headphones,C1587,396.06,1,0.01,Credit Card,0,396.06,392.0994
178,2024-09-16,Miami,S020,Clothing,Kids,C1658,35.15,1,0.0,Debit Card,0,35.15,35.15
179,2023-03-22,Seattle,S009,Electronics,Laptop,C1279,529.81,1,0.0,Credit Card,0,529.81,529.81
180,2023-04-23,New York,S006,Beauty,Skincare,C1579,12.83,1,0.0,Credit Card,0,12.83,12.83
181,2023-01-02,New York,S003,Books,Comics,C1220,20.17,1,0.0,Credit Card,0,20.17,20.17
182,2023-08-08,Los Angeles,S011,Beauty,Makeup,C1610,20.67,1,0.04,Credit Card,0,20.67,19.8432
183,2024-07-19,Phoenix,S002,Books,Fiction,C1278,15.99,2,0.0,Credit Card,0,31.98,31.98
184,2023-08-13,Houston,S009,Home,Decor,C1116,149.31,2,0.05,Credit Card,0,298.62,283.68899999999996
185,2024-01-20,Phoenix,S016,Clothing,Kids,C1315,29.88,4,0.11,Credit Card,0,119.52,106.3728
186,2024-02-07,New York,S007,Grocery,Snacks,C1785,10.45,1,0.08,Credit Card,0,10.45,9.613999999999999
187,2024-09-29,New York,S016,Books,Non-fiction,C1179,16.52,2,0.08,Debit Card,0,33.04,30.3968
188,2023-05-10,Phoenix,S012,Electronics,TV,C1882,528.22,3,0.0,Credit Card,0,1584.66,1584.66
189,2023-02-22,New York,S011,Clothing,Women,C1587,31.81,2,0.0,Debit Card,0,63.62,63.62
190,2024-02-20,Houston,S001,Grocery,Snacks,C1820,9.59,3,0.0,Credit Card,0,28.77,28.77
191,2023-09-04,Los Angeles,S003,Toys,Board Games,C1249,30.19,1,0.0,Credit Card,0,30.19,30.19
192,2024-03-14,Miami,S010,Books,Non-fiction,C1226,10.08,3,0.05,Credit Card,0,30.240000000000002,28.728
193,2023-07-22,New York,S017,Clothing,Men,C1794,39.48,1,0.06,Debit Card,0,39.48,37.1112
194,2023-07-03,Miami,S005,Home,Furniture,C1149,93.71,3,0.08,Credit Card,0,281.13,258.63960000000003
195,2023-05-03,Miami,S003,Home,Decor,C1505,169.82,6,0.0,Debit Card,0,1018.92,1018.92
196,2024-02-05,Seattle,S019,Books,Comics,C1639,13.88,1,0.1,Wallet,0,13.88,12.492
197,2023-10-21,Houston,S003,Toys,Puzzles,C1646,19.41,3,0.06,Credit Card,0,58.230000000000004,54.736200000000004
198,2023-10-07,Phoenix,S003,Grocery,Beverages,C1462,8.95,2,0.04,Credit Card,0,17.9,17.183999999999997
199,2024-09-01,Seattle,S003,Clothing,Kids,C1519,27.6,2,0.08,Debit Card,0,55.2,50.784000000000006
200,2023-07-17,Seattle,S002,Toys,Action Figures,C1667,33.56,2,0.0,Debit Card,0,67.12,67.12
201,2024-05-25,New York,S015,Electronics,Headphones,C1731,628.85,1,0.08,Debit Card,0,628.85,578.542
202,2023-05-24,Seattle,S015,Toys,Action Figures,C1535,19.96,5,0.0,Credit Card,0,99.80000000000001,99.80000000000001
203,2024-08-31,Houston,S014,Beauty,Haircare,C1695,30.4,2,0.0,Cash,0,60.8,60.8
204,2023-07-20,New York,S011,Electronics,TV,C1290,522.89,1,0.09,Cash,0,522.89,475.8299
205,2023-05-04,Phoenix,S005,Grocery,Dairy,C1596,8.81,1,0.0,Wallet,0,8.81,8.81
206,2023-07-06,Seattle,S013,Home,Decor,C1725,92.88,1,0.0,Credit Card,0,92.88,92.88
207,2023-11-22,Miami,S011,Beauty,Skincare,C1686,32.61,2,0.0,Wallet,0,65.22,65.22
208,2024-04-08,Phoenix,S003,Books,Comics,C1433,19.55,1,0.0,Credit Card,0,19.55,19.55
209,2023-12-15,Chicago,S011,Beauty,Haircare,C1196,24.65,2,0.08,Credit Card,0,49.3,45.356
210,2024-02-07,Miami,S004,Clothing,Kids,C1855,26.31,4,0.0,Debit Card,0,105.24,105.24
211,2023-12-12,Miami,S020,Home,Decor,C1385,118.42,1,0.09,Credit Card,0,118.42,107.7622
212,2024-05-25,Phoenix,S006,Books,Non-fiction,C1044,15.39,1,0.0,Debit Card,0,15.39,15.39
213,2023-05-27,Houston,S020,Grocery,Beverages,C1239,7.52,2,0.0,Credit Card,0,15.04,15.04
214,2023-05-28,Houston,S007,Grocery,Beverages,C1472,9.73,3,0.0,Cash,0,29.19,29.19
215,2024-05-03,Houston,S006,Beauty,Skincare,C1820,19.93,2,0.0,Cash,0,39.86,39.86
216,2024-10-01,Houston,S012,Clothing,Men,C1728,34.52,2,0.0,Cash,0,69.04,69.04
217,2024-07-04,Miami,S006,Grocery,Beverages,C1525,6.64,3,0.0,Credit Card,0,19.919999999999998,19.919999999999998
218,2023-12-04,Chicago,S015,Grocery,Dairy,C1424,7.38,1,0.08,Debit Card,0,7.38,6.7896
219,2024-04-17,New York,S012,Home,Furniture,C1326,130.78,1,0.0,Cash,0,130.78,130.78
220,2023-05-31,Miami,S005,Home,Furniture,C1293,60.28,1,0.0,Credit Card,0,60.28,60.28
221,2024-02-19,Miami,S016,Toys,Action Figures,C1005,21.71,3,0.0,Credit Card,0,65.13,65.13
222,2023-10-25,Chicago,S018,Books,Comics,C1540,12.11,3,0.0,Cash,0,36.33,36.33
223,2024-09-02,New York,S002,Home,Kitchen,C1654,115.04,2,0.0,Credit Card,0,230.08,230.08
224,2023-09-20,Houston,S020,Clothing,Men,C1647,37.82,2,0.0,Credit Card,0,75.64,75.64
225,2023-05-24,Houston,S001,Clothing,Women,C1246,37.99,1,0.0,Credit Card,0,37.99,37.99
226,2023-12-12,Phoenix,S012,Electronics,Phone,C1399,353.76,2,0.0,Credit Card,0,707.52,707.52
227,2024-09-15,Los Angeles,S009,Books,Fiction,C1365,9.64,1,0.0,Credit Card,0,9.64,9.64
228,2024-07-25,Seattle,S004,Beauty,Makeup,C1752,23.4,1,0.0,Credit Card,0,23.4,23.4
229,2023-01-02,Los Angeles,S006,Beauty,Makeup,C1475,20.54,1,0.0,Credit Card,0,20.54,20.54
230,2023-10-31,Chicago,S003,Books,Non-fiction,C1037,15.46,1,0.12,Credit Card,0,15.46,13.604800000000001
231,2023-09-11,New York,S011,Grocery,Beverages,C1834,8.57,5,0.0,Credit Card,0,42.85,42.85
232,2024-03-28,Chicago,S010,Grocery,Dairy,C1886,7.59,3,0.0,Credit Card,0,22.77,22.77
233,2023-02-06,Houston,S013,Books,Non-fiction,C1395,14.1,4,0.08,Credit Card,0,56.4,51.888
234,2023-06-09,Los Angeles,S017,Grocery,Dairy,C1744,7.7,3,0.0,Credit Card,0,23.1,23.1
235,2023-01-09,Chicago,S018,Grocery,Produce,C1105,8.5,2,0.15,Debit Card,0,17.0,14.45
236,2023-08-21,Phoenix,S014,Home,Decor,C1454,103.39,4,0.03,Credit Card,0,413.56,401.15319999999997
237,2023-04-09,Los Angeles,S020,Toys,Puzzles,C1654,29.28,1,0.0,Wallet,0,29.28,29.28
238,2023-07-27,Seattle,S013,Grocery,Snacks,C1031,10.64,1,0.12,Debit Card,0,10.64,9.3632
239,2023-05-11,New York,S005,Electronics,Laptop,C1797,333.62,1,0.0,Credit Card,0,333.62,333.62
240,2024-02-08,New York,S020,Home,Decor,C1460,133.74,2,0.0,Credit Card,0,267.48,267.48
241,2023-06-01,Phoenix,S005,Clothing,Women,C1407,32.89,2,0.01,Credit Card,0,65.78,65.1222
242,2023-02-23,New York,S006,Toys,Action Figures,C1396,20.8,1,0.0,Credit Card,0,20.8,20.8
243,2023-04-30,Seattle,S015,Home,Decor,C1292,114.61,2,0.0,Wallet,0,229.22,229.22
244,2024-09-19,Chicago,S003,Toys,Board Games,C1730,23.13,3,0.0,Credit Card,0,69.39,69.39
245,2024-08-09,Miami,S011,Books,Non-fiction,C1726,13.48,1,0.0,Debit Card,0,13.48,13.48
